"module name","license","repository"
"@babel/code-frame@7.29.7","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.29.7","MIT","https://github.com/babel/babel"
"@babel/core@7.29.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.29.8","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helpers@7.29.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.29.8","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.29.7","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.29.7","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-private-property-in-object@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-top-level-await@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.29.7","MIT","https://github.com/babel/babel"
"@babel/template@7.29.7","MIT","https://github.com/babel/babel"
"@babel/traverse@7.29.8","MIT","https://github.com/babel/babel"
"@babel/types@7.29.8","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@0.2.3","MIT","https://github.com/demurgos/v8-coverage"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@istanbuljs/load-nyc-config@1.1.0","ISC","https://github.com/istanbuljs/load-nyc-config"
"@istanbuljs/schema@0.1.6","MIT","https://github.com/istanbuljs/schema"
"@jest/console@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/core@30.4.2","MIT","https://github.com/jestjs/jest"
"@jest/diff-sequences@30.4.0","MIT","https://github.com/jestjs/jest"
"@jest/environment@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/expect-utils@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/expect@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/fake-timers@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/get-type@30.1.0","MIT","https://github.com/jestjs/jest"
"@jest/globals@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/pattern@30.4.0","MIT","https://github.com/jestjs/jest"
"@jest/reporters@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/schemas@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/snapshot-utils@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/source-map@30.0.1","MIT","https://github.com/jestjs/jest"
"@jest/test-result@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/test-sequencer@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/transform@30.4.1","MIT","https://github.com/jestjs/jest"
"@jest/types@30.4.1","MIT","https://github.com/jestjs/jest"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@pkgr/core@0.3.6","MIT","https://github.com/un-ts/pkgr"
"@sinclair/typebox@0.34.52","MIT","https://github.com/sinclairzx81/sinclair-typebox"
